player,team,bye,pos,adp
Ja'Marr Chase,CIN,10,WR,1
Saquon Barkley,PHI,9,RB,2
Bijan Robinson,ATL,5,RB,3
Jahmyr Gibbs,DET,8,RB,4
Justin Jefferson,MIN,6,WR,5
CeeDee Lamb,DAL,10,WR,6
Christian McCaffrey,SF,14,RB,8
Puka Nacua,LAR,8,WR,11
Derrick Henry,BAL,7,RB,7
Amon-Ra St. Brown,DET,8,WR,10
Ashton Jeanty,LV,8,RB,12
Malik Nabers,NYG,14,WR,13
Nico Collins,HOU,6,WR,9
De'Von Achane,MIA,12,RB,15
Brian Thomas Jr.,JAC,8,WR,16
Josh Jacobs,GB,5,RB,17
Brock Bowers,LV,8,TE,18
Jonathan Taylor,IND,11,RB,14
Drake London,ATL,5,WR,21
Bucky Irving,TB,9,RB,22
A.J. Brown,PHI,9,WR,20
Josh Allen,BUF,7,QB,19
Lamar Jackson,BAL,7,QB,23
Chase Brown,CIN,10,RB,26
Ladd McConkey,LAC,12,WR,24
Kyren Williams,LAR,8,RB,25
Trey McBride,ARI,8,TE,28
Jayden Daniels,WAS,12,QB,27
Tyreek Hill,MIA,12,WR,34
Jaxon Smith-Njigba,SEA,8,WR,32
Breece Hall,NYJ,9,RB,36
James Cook,BUF,7,RB,30
Tee Higgins,CIN,10,WR,29
Garrett Wilson,NYJ,9,WR,37
George Kittle,SF,14,TE,31
Jalen Hurts,PHI,9,QB,33
Joe Burrow,CIN,10,QB,41
Davante Adams,LAR,8,WR,38
Omarion Hampton,LAC,12,RB,45
Alvin Kamara,NO,11,RB,44
Mike Evans,TB,9,WR,35
Terry McLaurin,WAS,12,WR,39
Marvin Harrison Jr.,ARI,8,WR,43
Kenneth Walker III,SEA,8,RB,42
Chuba Hubbard,CAR,14,RB,40
DJ Moore,CHI,5,WR,51
James Conner,ARI,8,RB,46
DK Metcalf,PIT,5,WR,48
Rashee Rice,KC,10,WR,54
Courtland Sutton,DEN,12,WR,56
Sam LaPorta,DET,8,TE,47
David Montgomery,DET,8,RB,49
DeVonta Smith,PHI,9,WR,57
Joe Mixon,HOU,6,RB,52
Patrick Mahomes II,KC,10,QB,50
RJ Harvey,DEN,12,RB,61
Zay Flowers,BAL,7,WR,58
Xavier Worthy,KC,10,WR,62
TreVeyon Henderson,NE,14,RB,74
T.J. Hockenson,MIN,6,TE,55
Jameson Williams,DET,8,WR,65
D'Andre Swift,CHI,5,RB,70
Isiah Pacheco,KC,10,RB,64
Tetairoa McMillan,CAR,14,WR,79
Travis Kelce,KC,10,TE,59
Aaron Jones Sr.,MIN,6,RB,71
Baker Mayfield,TB,9,QB,53
George Pickens,DAL,10,WR,68
Tony Pollard,TEN,10,RB,63
Kaleb Johnson,PIT,5,RB,66
Travis Hunter,JAC,8,WR,69
Calvin Ridley,TEN,10,WR,77
Jaylen Waddle,MIA,12,WR,75
Bo Nix,DEN,12,QB,67
Chris Olave,NO,11,WR,83
Mark Andrews,BAL,7,TE,60
Jerry Jeudy,CLE,9,WR,91
Chris Godwin,TB,9,WR,82
Jordan Addison,MIN,6,WR,89
Brian Robinson Jr.,WAS,12,RB,85
Tyrone Tracy Jr.,NYG,14,RB,92
Rome Odunze,CHI,5,WR,88
Jaylen Warren,PIT,5,RB,93
Quinshon Judkins,CLE,9,RB,97
Evan Engram,DEN,12,TE,86
Deebo Samuel Sr.,WAS,12,WR,102
Kyler Murray,ARI,8,QB,94
David Njoku,CLE,9,TE,76
Stefon Diggs,NE,14,WR,103
Cooper Kupp,SEA,8,WR,111
Travis Etienne Jr.,JAC,8,RB,109
Jared Goff,DET,8,QB,96
Jakobi Meyers,LV,8,WR,110
Jauan Jennings,SF,14,WR,106
Jayden Reed,GB,5,WR,101
Brock Purdy,SF,14,QB,81
Cam Skattebo,NYG,14,RB,113
Khalil Shakir,BUF,7,WR,120
Jordan Mason,MIN,6,RB,99
Ricky Pearsall,SF,14,WR,112
Justin Fields,NYJ,9,QB,80
Dak Prescott,DAL,10,QB,104
Zach Charbonnet,SEA,8,RB,117
Justin Herbert,LAC,12,QB,100
Matthew Golden,GB,5,WR,135
Najee Harris,LAC,12,RB,114
Tucker Kraft,GB,5,TE,98
Caleb Williams,CHI,5,QB,118
Javonte Williams,DAL,10,RB,139
Rhamondre Stevenson,NE,14,RB,124
Jonnu Smith,PIT,5,TE,116
J.K. Dobbins,DEN,12,RB,122
Tyler Warren,IND,11,TE,130
Josh Downs,IND,11,WR,133
Emeka Egbuka,TB,9,WR,138
Colston Loveland,CHI,5,TE,149
Jake Ferguson,DAL,10,TE,129
Brandon Aiyuk,SF,14,WR,144
Tank Bigsby,JAC,8,RB,142
Dalton Kincaid,BUF,7,TE,123
Jordan Love,GB,5,QB,126
Drake Maye,NE,14,QB,127
Denver Broncos,DST,12,DST,72
Tyjae Spears,TEN,10,RB,171
C.J. Stroud,HOU,6,QB,131
Philadelphia Eagles,DST,9,DST,73
Brandon Aubrey,DAL,10,K,78
Dallas Goedert,PHI,9,TE,121
Michael Pittman Jr.,IND,11,WR,173
J.J. McCarthy,MIN,6,QB,140
Jaydon Blue,DAL,10,RB,161
Rachaad White,TB,9,RB,165
Keon Coleman,BUF,7,WR,163
Nick Chubb,HOU,6,RB,141
Kyle Pitts Sr.,ATL,5,TE,151
Austin Ekeler,WAS,12,RB,160
Isaac Guerendo,SF,14,RB,157
Pittsburgh Steelers,DST,5,DST,84
Cameron Dicker,LAC,12,K,90
Jayden Higgins,HOU,6,WR,194
Darnell Mooney,ATL,5,WR,197
Jerome Ford,CLE,9,RB,175
Luther Burden III,CHI,5,WR,164
Tre' Harris,LAC,12,WR,182
Ray Davis,BUF,7,RB,179
Rico Dowdle,CAR,14,RB,170
Cameron Ward,TEN,10,QB,137
Trey Benson,ARI,8,RB,181
Bhayshul Tuten,JAC,8,RB,176
Jake Bates,DET,8,K,95
Tua Tagovailoa,MIA,12,QB,147
Baltimore Ravens,DST,7,DST,87
Marvin Mims Jr.,DEN,12,WR,201
Hunter Henry,NE,14,TE,166
Minnesota Vikings,DST,6,DST,105
Braelon Allen,NYJ,9,RB,172
Michael Penix Jr.,ATL,5,QB,145
Marquise Brown,KC,10,WR,167
Rashid Shaheed,NO,11,WR,195
Trevor Lawrence,JAC,8,QB,200
DeAndre Hopkins,BAL,7,WR,146
Jack Bech,LV,8,WR,183
Bryce Young,CAR,14,QB,153
Jaylen Wright,MIA,12,RB,178
Tyler Allgeier,ATL,5,RB,189
Matthew Stafford,LAR,8,QB,152
Dylan Sampson,CLE,9,RB,187
Geno Smith,LV,8,QB,136
Christian Kirk,HOU,6,WR,202
Kyle Williams,NE,14,WR,174
Sam Darnold,SEA,8,QB,134
Jalen McMillan,TB,9,WR,169
Houston Texans,DST,6,DST,119
Zach Ertz,WAS,12,TE,196
Aaron Rodgers,PIT,5,QB,132
Rashod Bateman,BAL,7,WR,180
Isaiah Likely,BAL,7,TE,186
Cade Otton,TB,9,TE,156
Keenan Allen,LAC,12,WR,158
Adam Thielen,CAR,14,WR,159
Kansas City Chiefs,DST,10,DST,107
Anthony Richardson Sr.,IND,11,QB,155
Ka'imi Fairbairn,HOU,6,K,115
Chris Boswell,PIT,5,K,108
Detroit Lions,DST,8,DST,125
Kareem Hunt,KC,10,RB,148
Brenton Strange,JAC,8,TE,207
Buffalo Bills,DST,7,DST,150
Mike Gesicki,CIN,10,TE,177
Blake Corum,LAR,8,RB,162
Harrison Butker,KC,10,K,154
San Francisco 49ers,DST,14,DST,188
Pat Freiermuth,PIT,5,TE,191
Chig Okonkwo,TEN,10,TE,198
Chase McLaughlin,TB,9,K,184
Shedeur Sanders,CLE,9,QB,128
Wil Lutz,DEN,12,K,143
Darren Waller,MIA,12,TE,199
Washington Commanders,DST,12,DST,212
Mason Taylor,NYJ,9,TE,
Evan McPherson,CIN,10,K,168
Xavier Legette,CAR,14,WR,
Roschon Johnson,CHI,5,RB,
Cedric Tillman,CLE,9,WR,
Tampa Bay Buccaneers,DST,9,DST,190
Justice Hill,BAL,7,RB,
Quentin Johnston,LAC,12,WR,
Wan'Dale Robinson,NYG,14,WR,
Kyle Monangai,CHI,5,RB,
DeMario Douglas,NE,14,WR,
Tyler Bass,BUF,7,K,218
Joshua Palmer,BUF,7,WR,
Romeo Doubs,GB,5,WR,
New York Giants,DST,14,DST,214
Los Angeles Rams,DST,8,DST,222
Tyler Loop,BAL,7,K,215
DJ Giddens,IND,11,RB,
Jake Elliott,PHI,9,K,209
Miles Sanders,DAL,10,RB,
MarShawn Lloyd,GB,5,RB,
Seattle Seahawks,DST,8,DST,224
Green Bay Packers,DST,5,DST,221
Brashard Smith,KC,10,RB,
Elijah Arroyo,SEA,8,TE,
Alec Pierce,IND,11,WR,
Dalton Schultz,HOU,6,TE,
Jarquez Hunter,LAR,8,RB,
Woody Marks,HOU,6,RB,
Dallas Cowboys,DST,10,DST,210
Brandon McManus,GB,5,K,193
Russell Wilson,NYG,14,QB,
Tahj Brooks,CIN,10,RB,
New England Patriots,DST,14,DST,208
Miami Dolphins,DST,12,DST,203
Devin Neal,NO,11,RB,
Pat Bryant,DEN,12,WR,
Jason Sanders,MIA,12,K,217
Will Shipley,PHI,9,RB,
Chicago Bears,DST,5,DST,185
Tyler Shough,NO,11,QB,
Jalen Royals,KC,10,WR,
Younghoe Koo,ATL,5,K,206
Dont'e Thornton Jr.,LV,8,WR,
New York Jets,DST,9,DST,223
Daniel Carlson,LV,8,K,216
Daniel Jones,IND,11,QB,
Matt Gay,WAS,12,K,219
Cincinnati Bengals,DST,10,DST,205
Arizona Cardinals,DST,8,DST,220
Jaylin Noel,HOU,6,WR,
Elijah Mitchell,KC,10,RB,
Jaxson Dart,NYG,14,QB,
Jacory Croskey-Merritt,WAS,12,RB,
Dyami Brown,JAC,8,WR,
Will Reichard,MIN,6,K,213
Raheem Mostert,LV,8,RB,
Jake Moody,SF,14,K,192
Ja'Tavion Sanders,CAR,14,TE,
Darius Slayton,NYG,14,WR,
Terrance Ferguson,LAR,8,TE,
Joe Flacco,CLE,9,QB,
Calvin Austin III,PIT,5,WR,
Jaleel McLaughlin,DEN,12,RB,
Joshua Karty,LAR,8,K,211
Amari Cooper,,,WR,
Michael Wilson,ARI,8,WR,
Los Angeles Chargers,DST,12,DST,
Juwan Johnson,NO,11,TE,
Tyler Lockett,TEN,10,WR,
Trevor Etienne,CAR,14,RB,
Jalen Milroe,SEA,8,QB,
Spencer Rattler,NO,11,QB,
Cleveland Browns,DST,9,DST,225
Tyler Conklin,LAC,12,TE,
Kirk Cousins,ATL,5,QB,
Noah Gray,KC,10,TE,
Jordan James,SF,14,RB,
Antonio Gibson,NE,14,RB,
Zack Moss,,,RB,
Elic Ayomanor,TEN,10,WR,
Cole Kmet,CHI,5,TE,
Kendre Miller,NO,11,RB,
Theo Johnson,NYG,14,TE,
Tennessee Titans,DST,10,DST,
A.J. Dillon,PHI,9,RB,
Andrei Iosivas,CIN,10,WR,
Ollie Gordon II,MIA,12,RB,
Alexander Mattison,MIA,12,RB,
Harold Fannin Jr.,CLE,9,TE,
Ray-Ray McCloud III,ATL,5,WR,
Isaac TeSlaa,DET,8,WR,
Tyler Higbee,LAR,8,TE,
Adonai Mitchell,IND,11,WR,
Jalen Nailor,MIN,6,WR,
Jalen Coker,CAR,14,WR,
Tory Horton,SEA,8,WR,
Audric Estime,DEN,12,RB,
Diontae Johnson,CLE,9,WR,
Dontayvion Wicks,GB,5,WR,
Luke McCaffrey,WAS,12,WR,
Roman Wilson,PIT,5,WR,
Oronde Gadsden II,LAC,12,TE,
Tre Tucker,LV,8,WR,
Keaton Mitchell,BAL,7,RB,
Devaughn Vele,DEN,12,WR,
Kayshon Boutte,NE,14,WR,
Jermaine Burton,CIN,10,WR,
Jordan Whittington,LAR,8,WR,
Taysom Hill,NO,11,TE,
Xavier Restrepo,TEN,10,WR,
Tutu Atwell,LAR,8,WR,
Ben Sinnott,WAS,12,TE,
Noah Fant,CIN,10,TE,
Christian Watson,GB,5,WR,
Troy Franklin,DEN,12,WR,
Indianapolis Colts,DST,11,DST,
Samaje Perine,CIN,10,RB,
Las Vegas Raiders,DST,8,DST,
KeAndre Lambert-Smith,LAC,12,WR,
Devin Singletary,NYG,14,RB,
Jacksonville Jaguars,DST,8,DST,
New Orleans Saints,DST,11,DST,
Jalen Tolbert,DAL,10,WR,
Ty Johnson,BUF,7,RB,
Brandin Cooks,NO,11,WR,
Kenneth Gainwell,PIT,5,RB,
Sean Tucker,TB,9,RB,
Emanuel Wilson,GB,5,RB,
Elijah Moore,BUF,7,WR,
Dameon Pierce,HOU,6,RB,
Phil Mafah,DAL,10,RB,
Isaiah Davis,NYJ,9,RB,